food,calories_per_100g,protein_g,carbs_g,fat_g
apple_pie,265,2.4,34,12
baby_back_ribs,275,24,0,20
baklava,430,6,44,27
beef_carpaccio,190,22,1,11
beef_tartare,200,21,1,13
beet_salad,70,2,12,2
beignets,350,5,42,18
bibimbap,150,6,20,5
bread_pudding,220,5,30,9
breakfast_burrito,220,10,22,10
bruschetta,180,5,22,8
caesar_salad,190,6,8,16
cannoli,330,6,33,19
caprese_salad,180,10,4,14
carrot_cake,350,4,45,18
ceviche,100,15,6,2
cheesecake,320,5,26,22
cheese_plate,350,20,3,28
chicken_curry,165,14,6,10
chicken_quesadilla,280,15,22,15
chicken_wings,290,27,0,19
chocolate_cake,370,5,50,17
chocolate_mousse,280,4,24,19
churros,380,4,42,21
clam_chowder,110,6,10,5
club_sandwich,250,14,22,11
crab_cakes,220,13,12,13
creme_brulee,300,4,22,22
croque_madame,290,17,18,17
cup_cakes,350,4,50,15
deviled_eggs,190,9,1,16
donuts,400,5,49,21
dumplings,220,8,28,8
edamame,120,11,9,5
eggs_benedict,260,13,15,17
escargots,90,16,2,1
falafel,330,13,32,18
filet_mignon,270,25,0,18
fish_and_chips,290,14,28,15
foie_gras,460,8,4,44
french_fries,320,3,41,15
french_onion_soup,90,4,9,4
french_toast,230,8,28,9
fried_calamari,250,14,15,15
fried_rice,180,5,28,6
frozen_yogurt,160,4,30,3
garlic_bread,350,8,45,15
gnocchi,190,4,38,2
greek_salad,100,3,6,8
grilled_cheese_sandwich,350,13,30,20
grilled_salmon,210,22,0,13
guacamole,150,2,8,14
gyoza,210,8,24,9
hamburger,295,17,24,15
hot_and_sour_soup,70,4,8,2
hot_dog,290,11,20,18
huevos_rancheros,190,9,15,11
hummus,170,8,15,10
ice_cream,210,4,24,11
lasagna,190,10,18,9
lobster_bisque,150,8,8,9
lobster_roll_sandwich,250,15,22,11
macaroni_and_cheese,260,10,28,12
macarons,400,6,55,18
miso_soup,40,3,4,1
mussels,90,12,4,2
nachos,320,8,30,18
omelette,155,11,1,12
onion_rings,300,4,32,17
oysters,70,8,4,2
pad_thai,250,10,32,9
paella,170,10,20,5
pancakes,230,6,33,8
panna_cotta,290,3,20,22
peking_duck,340,20,4,27
pho,90,6,12,2
pizza,270,11,33,10
pork_chop,240,25,0,15
poutine,320,8,32,18
prime_rib,330,22,0,26
pulled_pork_sandwich,300,18,30,12
ramen,190,8,25,6
ravioli,200,9,28,6
red_velvet_cake,370,4,50,17
risotto,175,4,25,6
samosa,260,5,28,14
sashimi,130,22,0,4
scallops,110,20,4,1
seaweed_salad,70,2,8,4
shrimp_and_grits,200,12,18,9
spaghetti_bolognese,190,10,22,7
spaghetti_carbonara,250,11,26,11
spring_rolls,150,4,20,6
steak,270,26,0,18
strawberry_shortcake,300,4,40,14
sushi,150,6,24,3
tacos,220,11,20,10
takoyaki,200,8,22,9
tiramisu,300,5,30,18
tuna_tartare,150,22,2,6
waffles,290,7,35,13
